Date,Site,Sun_rise,Sun_set,Moon_rise,Moon_set,Moon_illumination_meridian_passing,Mean_temp_day,Mean_temp_night,Mean_wind_speed_day,Mean_wind_speed_night,Mean_rainfall_last_3hrs_day,Mean_rainfall_last_3hrs_night,Comment
02/05/2023,Silwood,05:34,20:28,16:43,04:40,0.915,12.7,6.8,0.4,0.2,0,0,
03/05/2023,Silwood,05:32,20:29,17:58,04:51,0.964,11.9,8.3,1.6,0.3,0,0,
04/05/2023,Silwood,05:31,20:31,19:16,05:03,na,15,13.2,0.7,0.4,0,0,
05/05/2023,Silwood,05:29,20:33,20:39,05:17,0.993,15.7,11.8,1,0.1,0.1,0,
06/05/2023,Silwood,05:27,20:34,22:04,05:35,0.999,12.8,12.5,1,0.5,1.4,0,
07/05/2023,Silwood,05:25,20:36,23:29,05:59,0.979,15.6,11.4,0.7,0,0,0,
08/05/2023,Silwood,05:24,20:37,na,06:35,0.932,13,13,1,0.4,0,2.9,
09/05/2023,Silwood,05:22,20:39,00:45,07:26,0.86,13.7,10.5,0.8,0.3,1.1,1.3,
10/05/2023,Silwood,05:20,20:40,01:45,08:36,0.767,12.8,10.1,0.8,0,1,0,
11/05/2023,Silwood,05:19,20:42,02:28,09:59,0.659,13.3,9.3,0.8,0.1,1.1,0.7,
12/05/2023,Silwood,05:17,20:44,02:58,11:28,0.541,11.8,10.1,0.9,0.6,0.1,0,
13/05/2023,Silwood,05:15,20:45,03:19,12:56,0.422,11.9,10,0.7,0.3,0,0,
14/05/2023,Silwood,05:14,20:47,03:35,14:22,0.308,15.5,13.5,0.4,1.3,0,0.9,
15/05/2023,Silwood,05:12,20:48,03:49,15:45,0.206,12.9,9.3,1.3,0.1,0.6,0,
16/05/2023,Silwood,05:11,20:50,04:01,17:06,0.121,13.2,,1.1,,0,,
02/05/2023,Barnes,05:31,20:24,16:40,04:37,0.914,12.3,8.5,4.1,2.7,0,0,
03/05/2023,Barnes,05:29,20:26,17:55,04:48,0.964,11.6,9.1,4.5,3.1,0,0,
04/05/2023,Barnes,05:27,20:28,19:13,05:00,na,15.2,13.4,2.7,3,0,0,
05/05/2023,Barnes,05:25,20:29,20:35,05:13,0.993,16,12.8,4.2,1.1,0.1,0,
06/05/2023,Barnes,05:23,20:31,22:01,05:31,0.999,13.5,12.9,2.1,2.5,0.9,0,
07/05/2023,Barnes,05:22,20:33,23:26,05:55,0.979,16,12.7,1.4,1.3,0,0,
08/05/2023,Barnes,05:20,20:34,na,06:31,0.932,13.3,13.1,2.8,1.9,0,2.2,
09/05/2023,Barnes,05:18,20:36,00:42,07:22,0.86,14.5,11.1,2.4,1.8,0.7,0.9,
10/05/2023,Barnes,05:17,20:37,01:42,08:32,0.767,13.6,10.7,3.3,0.6,0.8,1.2,
11/05/2023,Barnes,05:15,20:39,02:25,09:56,0.659,13.8,11.3,2.8,2.5,0.1,0.2,
12/05/2023,Barnes,05:13,20:40,02:55,11:24,0.542,11.6,10.3,4.8,2.9,0.1,0,
13/05/2023,Barnes,05:12,20:42,03:16,12:52,0.422,11.3,9.8,3.2,2.5,0,0,
14/05/2023,Barnes,05:10,20:43,03:32,14:18,0.309,14.8,14.4,1.9,3.7,0,0.6,
15/05/2023,Barnes,05:09,20:45,03:45,15:41,0.207,12.9,9.4,5.2,1.1,0.4,0,
16/05/2023,Barnes,05:07,20:46,03:58,17:03,0.121,13.6,13,1.7,0.8,0,0,
20/05/2023,Barnes,na,na,na,na,na,na,13.7,na,2.9,na,0,invertebrate trapping night
23/05/2023,Silwood,na,na,na,na,na,na,11.9,na,0.2,na,0,invertebrate trapping night
