Date,Site,Surveyor,Sample_point,Invert_count
23/05/2023,Silwood,Emma ,SA,6
23/05/2023,Silwood,Emma ,SG,1
23/05/2023,Silwood,Emma ,S111,1
23/05/2023,Silwood,Emma ,S112,2
23/05/2023,Silwood,Emma ,S113,2
23/05/2023,Silwood,Emma ,S121,3
23/05/2023,Silwood,Emma ,S122,2
23/05/2023,Silwood,Emma ,S123,12
23/05/2023,Silwood,Emma ,S131,2
23/05/2023,Silwood,Emma ,S132,2
23/05/2023,Silwood,Emma ,S211,1
23/05/2023,Silwood,Emma ,S212,13
23/05/2023,Silwood,Emma ,S213,1
23/05/2023,Silwood,Emma ,S221,2
23/05/2023,Silwood,Emma ,S222,5
23/05/2023,Silwood,Emma ,S223,5
23/05/2023,Silwood,Emma ,S231,1
23/05/2023,Silwood,Emma ,S232,1
23/05/2023,Silwood,Emma ,S233,12
23/05/2023,Silwood,Emma ,S321,0
23/05/2023,Silwood,Emma ,S322,1
23/05/2023,Silwood,Emma ,S323,1
23/05/2023,Silwood,Emma ,S331,2
23/05/2023,Silwood,Emma ,S332,1
23/05/2023,Silwood,Emma ,S333,1
23/05/2023,Silwood,Emma ,S411,3
23/05/2023,Silwood,Emma ,S412,2
23/05/2023,Silwood,Emma ,S413,2
20/05/2023,Barnes,Emma ,B111,17
20/05/2023,Barnes,Emma ,B112,3
20/05/2023,Barnes,Emma ,B113,6
20/05/2023,Barnes,Emma ,B121,4
20/05/2023,Barnes,Emma ,B122,4
20/05/2023,Barnes,Emma ,B123,6
20/05/2023,Barnes,Emma ,B131,1
20/05/2023,Barnes,Emma ,B132,1
20/05/2023,Barnes,Emma ,B133,24
20/05/2023,Barnes,Emma ,B211,6
20/05/2023,Barnes,Emma ,B212,2
20/05/2023,Barnes,Emma ,B213,1
20/05/2023,Barnes,Emma ,B221,3
20/05/2023,Barnes,Emma ,B222,7
20/05/2023,Barnes,Emma ,B223,2
20/05/2023,Barnes,Emma ,B231,3
20/05/2023,Barnes,Emma ,B232,2
20/05/2023,Barnes,Emma ,B233,6
20/05/2023,Barnes,Emma ,B311,1
