Date,Sun_rise,Sun_set,Moon_rise,Moon_set,Moon_illumination_meridian_passing,Transect,Treatment ,Start Time,End Time,Mean_temp_day (in C),Mean_temp_night (in C),Mean_wind_speed_day (in Knots),Mean_wind_speed_night (in Knots),Mean_rainfall_last_3hrs_day (in mm),Mean_rainfall_last_3hrs_night (in mm),Comment
18/05/2023,05:08,20:53,04:29,19:50,1.60%,1,Control,NA,NA,15.9,12.6,0.8,0.1,0,0,
19/05/2023,05:07,20:54,04:47,21:12,0.10%,1,Light ,18:50,07:05,15.4,10.2,0.2,0,0,0,
20/05/2023,05:05,20:55,05:10,22:29,0.90%,1,Sound ,19:05,NA,15.5,10,0.3,0,0,0,
21/05/2023,05:04,20:57,05:42,23:38,3.90%,1,Light_Sound,19:40,07:05,15.5,12.6,0.4,0.3,0,0,
22/05/2023,05:03,20:58,06:25,na,8.90%,1,Sound ,19:00,NA,15.6,10.5,0.8,0,0,0,repeat after equipment failure
23/05/2023,05:02,21:00,07:20,00:33,15.50%,3,Light  ,19:00,07:00,14.6,9.7,0.3,0,0,0,no 0m point
24/05/2023,05:00,21:01,08:25,01:15,23.40%,3,Light_Sound,,,16.8,12.9,1.1,0,0,0,no 0m point
25/05/2023,04:59,21:02,09:36,01:45,32.20%,3,Control,,,16.6,10.5,1,0.3,0,0,no 0m point
26/05/2023,04:58,21:03,10:49,02:06,41.60%,3,Light_Sound,19:20,07:00,15.9,9.9,0.9,0.1,0,0,repeat after equipment error
27/05/2023,04:57,21:05,12:01,02:23,51.40%,3,Control,19:04,19:00,16.7,10.8,0.2,0,0,0,repeat after equipment error
28/05/2023,04:56,21:06,13:12,02:36,61.20%,3,Sound ,19:00,19:03,17.9,11.8,0.4,1.1,0,0,
29/05/2023,04:55,21:07,14:24,02:47,70.70%,3,Light,19:03,07:00,15.1,10.9,0.9,0.7,0,0,repeat after equipment error
30/05/2023,04:54,21:08,15:37,02:58,79.60%,2,Light,,,14.7,12,0.6,1.1,0,0,
31/05/2023,04:53,21:09,16:52,03:09,87.50%,2,Light_Sound,,,15.9,11.9,0.9,0.7,0,0,
01/06/2023,04:53,21:11,18:13,02:58,93.80%,2,Sound ,,,14.8,11.6,0.4,0.4,0,0,
02/06/2023,04:52,21:12,19:37,02:58,981.00%,2,Control,,,15.5,11.1,0.7,0.5,0,0,
03/06/2023,04:51,21:13,21:04,02:58,99.90%,2,End ,,,17.2,12.7,0.4,0,0,0,
06/06/2023,04:49,21:16,na,06:20,94.80%,3,Sound ,,,14.7,11.8,0.6,0.2,0,0,
07/06/2023,04:49,21:16,00:26,07:42,88.00%,3,Sound ,,,17.1,12.6,0.6,0.4,0,0,repeat after equipment failure
08/06/2023,04:48,21:17,01:01,09:12,78.90%,3,End ,,,18.3,,0.6,,0,,
